Dataset,Method,Marg Cov,C0 Cov,C1 Cov,C2 Cov,C3 Cov,C4 Cov,C5 Cov,C6 Cov,C7 Cov,Marg Size,C0 Size,C1 Size,C2 Size,C3 Size,C4 Size,C5 Size,C6 Size,C7 Size,SFS,MDJ,CCR
EyePACS,OAPS,0.9103,1.0000,0.9329,0.7675,0.4851,0.0601,,,,2.5204,2.3787,2.5835,2.7797,3.1089,3.3133,,,,0.0000,0.0000,1.0000
EyePACS,min-CPS,0.7350,0.9992,0.0000,0.0038,0.0000,0.0141,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,0.0000,0.0000,1.0000
EyePACS,min-RCPS,0.9780,1.0000,0.9691,0.9234,0.8515,0.6695,,,,3.7225,3.6062,3.8290,4.0203,4.4059,4.5365,,,,0.0000,0.0000,1.0000
EyePACS,COPOC,0.8407,0.9961,0.8123,0.3014,0.0693,0.0043,,,,2.1245,2.0259,2.2384,2.3995,2.5347,2.9528,,,,0.0000,0.0000,1.0000
EyePACS,Risk-Control,0.9634,1.0000,0.9575,0.8651,0.5941,0.4721,,,,2.9990,2.8986,3.0645,3.2928,3.5842,4.0300,,,,0.0000,0.0000,1.0000
EyePACS,Ordinal CQR,0.9026,0.9056,0.9023,0.8909,0.9208,0.8326,,,,1.6886,1.4886,1.8687,2.1866,2.3465,2.4163,,,,0.0000,0.0000,1.0000
Retina-MNIST,oaps_ordinal,0.9650,1.0000,0.9565,0.9565,0.9706,0.7000,,,,3.9550,3.0920,4.1739,4.7283,4.8382,4.4000,,,,0.0000,0.0000,1.0000
Retina-MNIST,min_cps_ordinal,0.4725,0.7241,0.1087,0.3370,0.3971,0.0000,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,0.0000,0.0000,1.0000
Retina-MNIST,min_rcps_ordinal,0.8550,0.9310,0.6957,0.8804,0.8529,0.4500,,,,3.1200,2.2701,3.1522,3.9022,4.1618,3.3000,,,,0.0000,0.0000,1.0000
Retina-MNIST,copoc_ordinal,0.8900,0.9425,0.8261,0.9130,0.8824,0.5000,,,,3.2225,2.2989,3.5217,4.0652,4.1324,3.6000,,,,0.0000,0.0000,1.0000
Retina-MNIST,risk_control_ordinal,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,,,,0.0000,0.0000,1.0000
Retina-MNIST,ordinal_cqr,0.8875,0.8908,1.0000,0.9891,0.8382,0.3000,,,,3.6275,3.3218,3.7609,3.8370,4.0147,3.7000,,,,0.0000,0.0000,1.0000
UTKFace,oaps_ordinal,0.9979,1.0000,1.0000,1.0000,0.9802,0.9851,,,,3.7642,3.7669,3.3255,4.2489,4.8465,4.9851,,,,1.0000,0.0000,0.9979
UTKFace,min_cps_ordinal,0.7111,0.7974,0.8789,0.4185,0.3614,0.1791,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,1.0000,0.0000,0.7111
UTKFace,min_rcps_ordinal,0.9688,0.9564,0.9924,0.9626,0.9109,0.8507,,,,2.6575,1.7516,2.5223,3.2643,3.8515,3.5522,,,,1.0000,0.0000,0.9688
UTKFace,copoc_ordinal,0.8979,0.9477,0.9537,0.7952,0.7574,0.6866,,,,1.7465,1.2288,1.8974,1.8546,1.8317,1.6269,,,,1.0000,0.0000,0.8979
UTKFace,risk_control_ordinal,0.9734,0.9368,0.9966,0.9846,0.9307,0.8657,,,,2.2801,1.5599,2.1110,2.8150,3.3366,3.4030,,,,1.0000,0.0000,0.9734
UTKFace,ordinal_cqr,0.9717,0.9390,0.9992,0.9471,0.9653,0.8955,,,,2.0131,1.4074,1.7864,2.6322,3.0099,2.9851,,,,1.0000,0.0000,0.9717
Adience,oaps_ordinal,0.9672,1.0000,1.0000,1.0000,1.0000,0.9880,0.9478,0.7952,0.7471,5.5040,3.0643,4.5327,4.7123,5.4817,6.1776,6.8957,7.2651,7.6092,0.0000,0.0000,1.0000
Adience,min_cps_ordinal,0.5994,0.9116,0.5514,0.5047,0.4756,0.6307,0.5435,0.3735,0.4713,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000
Adience,min_rcps_ordinal,0.9477,0.9960,0.9766,0.9434,0.8110,0.9561,0.9478,0.9518,0.9540,4.6644,1.6024,4.0140,5.5189,4.9329,5.7046,5.6783,4.9157,3.5287,0.0000,0.0000,1.0000
Adience,copoc_ordinal,0.8954,0.9719,0.8785,0.8726,0.9085,0.9401,0.9000,0.7470,0.6207,2.4443,1.2811,2.4860,2.6651,2.7012,2.7305,2.7000,2.6747,2.1034,0.0000,0.0000,1.0000
Adience,risk_control_ordinal,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,0.0000,0.0000,1.0000
Adience,ordinal_cqr,0.9563,0.9920,0.9486,0.9057,0.9634,0.9940,0.9739,0.8434,0.8276,3.4437,2.0000,3.1869,4.0377,4.1341,3.4631,3.8478,3.9398,3.8046,0.0000,0.0000,1.0000
