dataset,alpha,method,backbone,checkpoint_variant,class_id,class_name,num_test,coverage,coverage_ci_low,coverage_ci_high,avg_prediction_set_size,empirical_target_met
retinamnist,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,0,0,174,0.9713,0.9346,0.9877,4.1839,true
retinamnist,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,1,1,46,0.9565,0.8546,0.9880,4.6522,true
retinamnist,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,2,2,92,0.9891,0.9409,0.9981,4.7283,true
retinamnist,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,3,3,68,0.9853,0.9213,0.9974,4.6618,true
retinamnist,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,4,4,20,0.9500,0.7639,0.9911,4.7000,true
retinamnist,0.1,oaps,softmax,reported_checkpoint,0,0,174,1.0000,0.9784,1.0000,4.0000,true
retinamnist,0.1,oaps,softmax,reported_checkpoint,1,1,46,1.0000,0.9229,1.0000,4.5000,true
retinamnist,0.1,oaps,softmax,reported_checkpoint,2,2,92,0.9783,0.9242,0.9940,4.6848,true
retinamnist,0.1,oaps,softmax,reported_checkpoint,3,3,68,0.9559,0.8782,0.9849,4.6618,true
retinamnist,0.1,oaps,softmax,reported_checkpoint,4,4,20,0.8000,0.5840,0.9193,4.7000,false
retinamnist,0.1,min_cps,softmax,reported_checkpoint,0,0,174,0.7759,0.7084,0.8315,1.0000,false
retinamnist,0.1,min_cps,softmax,reported_checkpoint,1,1,46,0.0652,0.0224,0.1750,1.0000,false
retinamnist,0.1,min_cps,softmax,reported_checkpoint,2,2,92,0.4783,0.3792,0.5792,1.0000,false
retinamnist,0.1,min_cps,softmax,reported_checkpoint,3,3,68,0.2647,0.1745,0.3801,1.0000,false
retinamnist,0.1,min_cps,softmax,reported_checkpoint,4,4,20,0.0000,0.0000,0.1611,1.0000,false
retinamnist,0.1,min_rcps,softmax,reported_checkpoint,0,0,174,0.9885,0.9591,0.9968,4.3736,true
retinamnist,0.1,min_rcps,softmax,reported_checkpoint,1,1,46,0.9565,0.8546,0.9880,4.7826,true
retinamnist,0.1,min_rcps,softmax,reported_checkpoint,2,2,92,0.9783,0.9242,0.9940,4.9239,true
retinamnist,0.1,min_rcps,softmax,reported_checkpoint,3,3,68,0.9412,0.8583,0.9769,4.7647,true
retinamnist,0.1,min_rcps,softmax,reported_checkpoint,4,4,20,0.9500,0.7639,0.9911,4.8000,true
retinamnist,0.1,risk_control,softmax,reported_checkpoint,0,0,174,0.9080,0.8558,0.9426,2.0690,true
retinamnist,0.1,risk_control,softmax,reported_checkpoint,1,1,46,0.7826,0.6443,0.8774,3.5435,false
retinamnist,0.1,risk_control,softmax,reported_checkpoint,2,2,92,0.9022,0.8245,0.9477,3.9239,true
retinamnist,0.1,risk_control,softmax,reported_checkpoint,3,3,68,0.9265,0.8392,0.9682,4.0882,true
retinamnist,0.1,risk_control,softmax,reported_checkpoint,4,4,20,0.5500,0.3421,0.7418,3.9000,false
retinamnist,0.1,copoc,binomial_unimodal,reported_checkpoint,0,0,174,0.9425,0.8974,0.9685,2.2989,true
retinamnist,0.1,copoc,binomial_unimodal,reported_checkpoint,1,1,46,0.8261,0.6928,0.9092,3.5217,false
retinamnist,0.1,copoc,binomial_unimodal,reported_checkpoint,2,2,92,0.9130,0.8376,0.9552,4.0652,true
retinamnist,0.1,copoc,binomial_unimodal,reported_checkpoint,3,3,68,0.8824,0.7847,0.9392,4.1324,false
retinamnist,0.1,copoc,binomial_unimodal,reported_checkpoint,4,4,20,0.5000,0.2993,0.7007,3.6000,false
utkface,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,0,<20,459,0.9869,0.9717,0.9940,1.4466,true
utkface,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,1,20-39,1189,0.9950,0.9891,0.9977,2.5290,true
utkface,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,2,40-59,454,0.9824,0.9656,0.9911,2.7974,true
utkface,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,3,60-79,202,0.9653,0.9301,0.9831,3.0099,true
utkface,0.1,ordinal_cqr,quantile_regression,reported_checkpoint,4,>=80,67,0.9552,0.8764,0.9846,2.7612,true
utkface,0.1,oaps,softmax,reported_checkpoint,0,<20,459,1.0000,0.9917,1.0000,3.7669,true
utkface,0.1,oaps,softmax,reported_checkpoint,1,20-39,1189,1.0000,0.9968,1.0000,3.3255,true
utkface,0.1,oaps,softmax,reported_checkpoint,2,40-59,454,1.0000,0.9916,1.0000,4.2489,true
utkface,0.1,oaps,softmax,reported_checkpoint,3,60-79,202,0.9802,0.9502,0.9923,4.8465,true
utkface,0.1,oaps,softmax,reported_checkpoint,4,>=80,67,0.9851,0.9202,0.9974,4.9851,true
utkface,0.1,min_cps,softmax,reported_checkpoint,0,<20,459,0.7974,0.7582,0.8316,1.0000,false
utkface,0.1,min_cps,softmax,reported_checkpoint,1,20-39,1189,0.8789,0.8591,0.8962,1.0000,false
utkface,0.1,min_cps,softmax,reported_checkpoint,2,40-59,454,0.4185,0.3740,0.4644,1.0000,false
utkface,0.1,min_cps,softmax,reported_checkpoint,3,60-79,202,0.3614,0.2983,0.4297,1.0000,false
utkface,0.1,min_cps,softmax,reported_checkpoint,4,>=80,67,0.1791,0.1055,0.2875,1.0000,false
utkface,0.1,min_rcps,softmax,reported_checkpoint,0,<20,459,0.9564,0.9336,0.9716,1.7516,true
utkface,0.1,min_rcps,softmax,reported_checkpoint,1,20-39,1189,0.9924,0.9856,0.9960,2.5223,true
utkface,0.1,min_rcps,softmax,reported_checkpoint,2,40-59,454,0.9626,0.9409,0.9765,3.2643,true
utkface,0.1,min_rcps,softmax,reported_checkpoint,3,60-79,202,0.9109,0.8636,0.9429,3.8515,true
utkface,0.1,min_rcps,softmax,reported_checkpoint,4,>=80,67,0.8507,0.7465,0.9168,3.5522,false
utkface,0.1,risk_control,softmax,reported_checkpoint,0,<20,459,0.9368,0.9107,0.9556,1.5599,true
utkface,0.1,risk_control,softmax,reported_checkpoint,1,20-39,1189,0.9966,0.9913,0.9987,2.1110,true
utkface,0.1,risk_control,softmax,reported_checkpoint,2,40-59,454,0.9846,0.9685,0.9925,2.8150,true
utkface,0.1,risk_control,softmax,reported_checkpoint,3,60-79,202,0.9307,0.8870,0.9583,3.3366,true
utkface,0.1,risk_control,softmax,reported_checkpoint,4,>=80,67,0.8657,0.7640,0.9277,3.4030,false
utkface,0.1,copoc,binomial_unimodal,reported_checkpoint,0,<20,459,0.9477,0.9234,0.9646,1.2288,true
utkface,0.1,copoc,binomial_unimodal,reported_checkpoint,1,20-39,1189,0.9537,0.9402,0.9643,1.8974,true
utkface,0.1,copoc,binomial_unimodal,reported_checkpoint,2,40-59,454,0.7952,0.7557,0.8298,1.8546,false
utkface,0.1,copoc,binomial_unimodal,reported_checkpoint,3,60-79,202,0.7574,0.6938,0.8114,1.8317,false
utkface,0.1,copoc,binomial_unimodal,reported_checkpoint,4,>=80,67,0.6866,0.5680,0.7850,1.6269,false
eyepacs,0.1,ordinal_cqr,quantile_regression,d765_val_loss_0.2322,0,0,2581,0.9737,0.9668,0.9792,4.8117,true
eyepacs,0.1,ordinal_cqr,quantile_regression,d765_val_loss_0.2322,1,1,245,0.9918,0.9707,0.9977,4.9020,true
eyepacs,0.1,ordinal_cqr,quantile_regression,d765_val_loss_0.2322,2,2,529,0.9924,0.9807,0.9970,4.8677,true
eyepacs,0.1,ordinal_cqr,quantile_regression,d765_val_loss_0.2322,3,3,87,1.0000,0.9577,1.0000,4.7701,true
eyepacs,0.1,ordinal_cqr,quantile_regression,d765_val_loss_0.2322,4,4,71,1.0000,0.9487,1.0000,4.8169,true
eyepacs,0.1,ordinal_cqr,quantile_regression,a3td_val_loss_0.1400,0,0,2581,1.0000,0.9985,1.0000,5.0000,true
eyepacs,0.1,ordinal_cqr,quantile_regression,a3td_val_loss_0.1400,1,1,245,1.0000,0.9846,1.0000,5.0000,true
eyepacs,0.1,ordinal_cqr,quantile_regression,a3td_val_loss_0.1400,2,2,529,1.0000,0.9928,1.0000,5.0000,true
eyepacs,0.1,ordinal_cqr,quantile_regression,a3td_val_loss_0.1400,3,3,87,1.0000,0.9577,1.0000,5.0000,true
eyepacs,0.1,ordinal_cqr,quantile_regression,a3td_val_loss_0.1400,4,4,71,1.0000,0.9487,1.0000,5.0000,true
eyepacs,0.1,oaps,softmax,configured_softmax,0,0,2581,1.0000,0.9985,1.0000,2.6126,true
eyepacs,0.1,oaps,softmax,configured_softmax,1,1,245,0.9633,0.9317,0.9806,2.7959,true
eyepacs,0.1,oaps,softmax,configured_softmax,2,2,529,0.7996,0.7634,0.8315,3.0000,false
eyepacs,0.1,oaps,softmax,configured_softmax,3,3,87,0.2529,0.1734,0.3533,3.2184,false
eyepacs,0.1,oaps,softmax,configured_softmax,4,4,71,0.2254,0.1438,0.3352,3.4930,false
eyepacs,0.1,min_cps,softmax,configured_softmax,0,0,2581,0.9992,0.9971,0.9998,1.0000,true
eyepacs,0.1,min_cps,softmax,configured_softmax,1,1,245,0.0000,0.0000,0.0154,1.0000,false
eyepacs,0.1,min_cps,softmax,configured_softmax,2,2,529,0.0038,0.0010,0.0137,1.0000,false
eyepacs,0.1,min_cps,softmax,configured_softmax,3,3,87,0.0000,0.0000,0.0423,1.0000,false
eyepacs,0.1,min_cps,softmax,configured_softmax,4,4,71,0.0141,0.0025,0.0756,1.0000,false
eyepacs,0.1,min_rcps,softmax,configured_softmax,0,0,2581,1.0000,0.9985,1.0000,3.9609,true
eyepacs,0.1,min_rcps,softmax,configured_softmax,1,1,245,0.9755,0.9476,0.9887,4.1755,true
eyepacs,0.1,min_rcps,softmax,configured_softmax,2,2,529,0.9565,0.9356,0.9708,4.2779,true
eyepacs,0.1,min_rcps,softmax,configured_softmax,3,3,87,0.9195,0.8431,0.9605,4.6782,true
eyepacs,0.1,min_rcps,softmax,configured_softmax,4,4,71,0.8169,0.7115,0.8898,4.5915,false
eyepacs,0.1,risk_control,softmax,configured_softmax,0,0,2581,1.0000,0.9985,1.0000,3.1387,true
eyepacs,0.1,risk_control,softmax,configured_softmax,1,1,245,0.9837,0.9588,0.9936,3.2082,true
eyepacs,0.1,risk_control,softmax,configured_softmax,2,2,529,0.9660,0.9469,0.9784,3.4631,true
eyepacs,0.1,risk_control,softmax,configured_softmax,3,3,87,0.4483,0.3482,0.5528,3.6667,false
eyepacs,0.1,risk_control,softmax,configured_softmax,4,4,71,0.4930,0.3801,0.6066,4.0141,false
eyepacs,0.1,copoc,binomial_unimodal,configured_binomial,0,0,2581,0.9969,0.9939,0.9984,2.4378,true
eyepacs,0.1,copoc,binomial_unimodal,configured_binomial,1,1,245,0.9959,0.9772,0.9993,2.6449,true
eyepacs,0.1,copoc,binomial_unimodal,configured_binomial,2,2,529,0.6314,0.5895,0.6714,2.8091,false
eyepacs,0.1,copoc,binomial_unimodal,configured_binomial,3,3,87,0.1839,0.1165,0.2780,2.8736,false
eyepacs,0.1,copoc,binomial_unimodal,configured_binomial,4,4,71,0.0563,0.0221,0.1360,3.0845,false
