dataset,alpha,num_test,method,backbone,checkpoint_variant,marginal_coverage,worst_class_coverage,avg_prediction_set_size,ccr,full_set_rate,raw_full_set_rate,final_fragmentation_rate,raw_fragmentation_rate,avg_hull_inflation,empirical_marginal_target_met,empirical_all_class_target_met,contiguity_target_met,class_0_count,class_0_coverage,class_1_count,class_1_coverage,class_2_count,class_2_coverage,class_3_count,class_3_coverage,class_4_count,class_4_coverage,claim_scope,notes
retinamnist,0.1,400,ordinal_cqr,quantile_regression,reported_checkpoint,0.9750,0.9500,4.4700,0.9750,0.7675,NA,0.0000,0.0525,0.0525,true,true,true,174,0.9713,46,0.9565,92,0.9891,68,0.9853,20,0.9500,class_conditional_under_exchangeability,Empirically reaches 0.9 in every class but is highly conservative.
retinamnist,0.1,400,oaps,softmax,reported_checkpoint,0.9775,0.8000,4.3625,0.9775,0.6000,NA,0.0000,NA,NA,true,false,true,174,1.0000,46,1.0000,92,0.9783,68,0.9559,20,0.8000,baseline_empirical,Marginal target met; class 4 target missed.
retinamnist,0.1,400,min_cps,softmax,reported_checkpoint,0.5000,0.0000,1.0000,0.5000,0.0000,NA,0.0000,NA,NA,false,false,true,174,0.7759,46,0.0652,92,0.4783,68,0.2647,20,0.0000,baseline_empirical,Severe undercoverage.
retinamnist,0.1,400,min_rcps,softmax,reported_checkpoint,0.9725,0.9412,4.6350,0.9725,0.9000,NA,0.0000,NA,NA,true,true,true,174,0.9885,46,0.9565,92,0.9783,68,0.9412,20,0.9500,baseline_empirical,Empirically reaches 0.9 in every class with larger sets than OCQR.
retinamnist,0.1,400,risk_control,softmax,reported_checkpoint,0.8775,0.5500,3.1000,0.8775,0.2700,NA,0.0000,NA,NA,false,false,true,174,0.9080,46,0.7826,92,0.9022,68,0.9265,20,0.5500,baseline_empirical,Marginal and rare-class targets missed.
retinamnist,0.1,400,copoc,binomial_unimodal,reported_checkpoint,0.8900,0.5000,3.2225,0.8900,0.2425,NA,0.0000,NA,NA,false,false,true,174,0.9425,46,0.8261,92,0.9130,68,0.8824,20,0.5000,baseline_empirical,Marginal and rare-class targets missed.
utkface,0.1,2371,ordinal_cqr,quantile_regression,reported_checkpoint,0.9873,0.9552,2.4184,0.9873,0.0000,NA,0.0000,0.0000,0.0000,true,true,true,459,0.9869,1189,0.9950,454,0.9824,202,0.9653,67,0.9552,class_conditional_under_exchangeability,Best observed coverage-efficiency tradeoff for OCQR.
utkface,0.1,2371,oaps,softmax,reported_checkpoint,0.9979,0.9802,3.7642,0.9979,0.3260,NA,0.0000,NA,NA,true,true,true,459,1.0000,1189,1.0000,454,1.0000,202,0.9802,67,0.9851,baseline_empirical,Empirically reaches 0.9 in every class but uses larger sets than OCQR.
utkface,0.1,2371,min_cps,softmax,reported_checkpoint,0.7111,0.1791,1.0000,0.7111,0.0000,NA,0.0000,NA,NA,false,false,true,459,0.7974,1189,0.8789,454,0.4185,202,0.3614,67,0.1791,baseline_empirical,Severe undercoverage.
utkface,0.1,2371,min_rcps,softmax,reported_checkpoint,0.9688,0.8507,2.6575,0.9688,0.1168,NA,0.0000,NA,NA,true,false,true,459,0.9564,1189,0.9924,454,0.9626,202,0.9109,67,0.8507,baseline_empirical,Marginal target met; class 4 target missed.
utkface,0.1,2371,risk_control,softmax,reported_checkpoint,0.9734,0.8657,2.2801,0.9734,0.0312,NA,0.0000,NA,NA,true,false,true,459,0.9368,1189,0.9966,454,0.9846,202,0.9307,67,0.8657,baseline_empirical,Marginal target met; class 4 target missed.
utkface,0.1,2371,copoc,binomial_unimodal,reported_checkpoint,0.8979,0.6866,1.7465,0.8979,0.0000,NA,0.0000,NA,NA,false,false,true,459,0.9477,1189,0.9537,454,0.7952,202,0.7574,67,0.6866,baseline_empirical,Marginal and rare-class targets missed.
eyepacs,0.1,3513,ordinal_cqr,quantile_regression,d765_val_loss_0.2322,0.9789,0.9737,4.8255,0.9789,0.9126,0.9115,0.0000,0.0011,0.0011,true,true,true,2581,0.9737,245,0.9918,529,0.9924,87,1.0000,71,1.0000,class_conditional_under_exchangeability,Empirically valid-looking but nearly trivial sets.
eyepacs,0.1,3513,ordinal_cqr,quantile_regression,a3td_val_loss_0.1400,1.0000,1.0000,5.0000,1.0000,1.0000,0.9815,0.0000,0.0185,0.0185,true,true,true,2581,1.0000,245,1.0000,529,1.0000,87,1.0000,71,1.0000,class_conditional_under_exchangeability,Trivially covers every class by always returning the full set.
eyepacs,0.1,3513,oaps,softmax,configured_softmax,0.9331,0.2254,2.7165,0.9331,0.0316,NA,0.0000,NA,NA,true,false,true,2581,1.0000,245,0.9633,529,0.7996,87,0.2529,71,0.2254,baseline_empirical,Marginal target masks severe rare-class undercoverage.
