variant,experimental_status,class_id,class_name,test_count,coverage_mean,coverage_std
OCQR,Canonical,0,FQ,4952,0.9998384475708008,0.000361242213619675
OCQR,Canonical,1,B,4403,0.7323188781738281,0.18155154471665924
OCQR,Canonical,2,C,9897,0.8988582372665406,0.045489819177693167
OCQR,Canonical,3,M,7420,0.9258221030235291,0.03089792252543254
OCQR,Canonical,4,X,948,0.8607594966888428,0.06581212657797168
OCQR-NoHull,Noncanonical diagnostic,0,FQ,4952,0.9998384475708008,0.000361242213619675
OCQR-NoHull,Noncanonical diagnostic,1,B,4403,0.7323188781738281,0.18155154471665924
OCQR-NoHull,Noncanonical diagnostic,2,C,9897,0.8988582372665406,0.045489819177693167
OCQR-NoHull,Noncanonical diagnostic,3,M,7420,0.9258221030235291,0.03089792252543254
OCQR-NoHull,Noncanonical diagnostic,4,X,948,0.8607594966888428,0.06581212657797168
OCQR-NoFallback,Noncanonical diagnostic,0,FQ,4952,0.9998384475708008,0.000361242213619675
OCQR-NoFallback,Noncanonical diagnostic,1,B,4403,0.7323188781738281,0.18155154471665924
OCQR-NoFallback,Noncanonical diagnostic,2,C,9897,0.8988582372665406,0.045489819177693167
OCQR-NoFallback,Noncanonical diagnostic,3,M,7420,0.9258221030235291,0.03089792252543254
OCQR-NoFallback,Noncanonical diagnostic,4,X,948,0.8607594966888428,0.06581212657797168
OCQR-Raw,Noncanonical diagnostic,0,FQ,4952,0.9998384475708008,0.000361242213619675
OCQR-Raw,Noncanonical diagnostic,1,B,4403,0.7323188781738281,0.18155154471665924
OCQR-Raw,Noncanonical diagnostic,2,C,9897,0.8988582372665406,0.045489819177693167
OCQR-Raw,Noncanonical diagnostic,3,M,7420,0.9258221030235291,0.03089792252543254
OCQR-Raw,Noncanonical diagnostic,4,X,948,0.8607594966888428,0.06581212657797168
OCQR-NonnegativeCorrection,Exploratory post hoc,0,FQ,4952,0.9998384475708008,0.000361242213619675
OCQR-NonnegativeCorrection,Exploratory post hoc,1,B,4403,0.9058823585510254,0.05759254323479479
OCQR-NonnegativeCorrection,Exploratory post hoc,2,C,9897,0.9010811448097229,0.04385114772070214
OCQR-NonnegativeCorrection,Exploratory post hoc,3,M,7420,0.9283557891845703,0.03209056498120198
OCQR-NonnegativeCorrection,Exploratory post hoc,4,X,948,0.8607594966888428,0.06581212657797168
